epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,225.331,0.86448,0.60839,0.9101,0.99781,1,0.995,0.74558,0.88753,0.51142,0.84202,3.8125e-05,3.8125e-05,3.8125e-05
42,230.585,0.83743,0.58171,0.9062,0.99843,1,0.995,0.73602,0.92009,0.52169,0.84794,3.65781e-05,3.65781e-05,3.65781e-05
43,235.851,0.86623,0.60207,0.91419,0.99772,1,0.995,0.74679,0.88768,0.52517,0.84807,3.50313e-05,3.50313e-05,3.50313e-05
44,241.137,0.84485,0.58855,0.90468,0.99462,1,0.995,0.72649,0.93297,0.53072,0.84864,3.34844e-05,3.34844e-05,3.34844e-05
45,246.361,0.86317,0.60384,0.90455,0.99852,1,0.995,0.74134,0.8781,0.51634,0.83994,3.19375e-05,3.19375e-05,3.19375e-05
46,251.65,0.84995,0.58557,0.90325,0.99903,1,0.995,0.75122,0.86576,0.5108,0.84073,3.03906e-05,3.03906e-05,3.03906e-05
47,256.924,0.86867,0.59588,0.90854,0.99914,1,0.995,0.74497,0.87367,0.50408,0.84454,2.88438e-05,2.88438e-05,2.88438e-05
48,262.264,0.84679,0.5895,0.90611,0.99855,1,0.995,0.74674,0.88795,0.52631,0.8477,2.72969e-05,2.72969e-05,2.72969e-05
49,267.63,0.86853,0.58894,0.90879,0.99843,1,0.995,0.75061,0.86066,0.51877,0.84354,2.575e-05,2.575e-05,2.575e-05
50,272.971,0.849,0.58769,0.90912,0.99841,0.99991,0.995,0.75672,0.84262,0.49581,0.83653,2.42031e-05,2.42031e-05,2.42031e-05
51,278.285,0.85366,0.57944,0.9006,0.9981,1,0.995,0.73577,0.89489,0.50534,0.84151,2.26563e-05,2.26563e-05,2.26563e-05
52,283.539,0.85616,0.58255,0.90284,0.9979,1,0.995,0.74733,0.86542,0.49541,0.84135,2.11094e-05,2.11094e-05,2.11094e-05
53,288.814,0.8566,0.5864,0.90884,0.9978,1,0.995,0.75185,0.85843,0.49372,0.8436,1.95625e-05,1.95625e-05,1.95625e-05
54,294.103,0.8343,0.58131,0.90067,0.99835,1,0.995,0.75175,0.85295,0.4984,0.84202,1.80156e-05,1.80156e-05,1.80156e-05
55,311.044,0.8316,0.80377,0.89227,0.99904,1,0.995,0.75725,0.85098,0.49869,0.83803,1.64688e-05,1.64688e-05,1.64688e-05
56,316.281,0.82568,0.68371,0.8791,0.99764,1,0.995,0.75387,0.88078,0.52991,0.83799,1.49219e-05,1.49219e-05,1.49219e-05
57,321.506,0.8153,0.65931,0.86448,0.99742,1,0.995,0.75643,0.8703,0.53443,0.83322,1.3375e-05,1.3375e-05,1.3375e-05
58,326.791,0.81775,0.61392,0.87001,0.99813,0.99981,0.995,0.75861,0.85503,0.52071,0.83288,1.18281e-05,1.18281e-05,1.18281e-05
59,332.059,0.81322,0.60535,0.86785,0.99823,0.99955,0.995,0.758,0.84861,0.51844,0.83587,1.02812e-05,1.02812e-05,1.02812e-05
60,337.276,0.8106,0.59483,0.86248,0.99784,1,0.995,0.75548,0.8469,0.51298,0.83782,8.73438e-06,8.73438e-06,8.73438e-06
61,342.483,0.8061,0.59307,0.87061,0.99793,1,0.995,0.7567,0.84653,0.50981,0.83868,7.1875e-06,7.1875e-06,7.1875e-06
62,347.677,0.80358,0.58337,0.85963,0.99819,1,0.995,0.75243,0.84895,0.51012,0.83769,5.64062e-06,5.64062e-06,5.64062e-06
63,352.911,0.8032,0.57968,0.86068,0.99826,1,0.995,0.74806,0.85402,0.50891,0.83911,4.09375e-06,4.09375e-06,4.09375e-06
64,358.152,0.79475,0.5741,0.86231,0.99829,1,0.995,0.74823,0.85908,0.511,0.83972,2.54688e-06,2.54688e-06,2.54688e-06
